timediff; x; y; z; forward_x; forward_y; forward_z
16,8108446;0;0;0;0;0;1
17,0798398;0;0;0;0;0;1
17,0768429;0;0;0;0;0;1
17,3449513;0;0;0;0;0;1
17,3429513;0;0;0;0;0;1
17,6119524;0;0;0;0;0;1
17,6109517;0;0;0;0;0;1
17,875841;0;0;0;0;0;1
17,8738451;0;0;0;0;0;1
18,1418406;0;0;0;0;0;1
18,1428404;0;0;0;0;0;1
18,40984;0;0;0;0;0;1
18,4078409;0;0;0;0;0;1
18,6760752;0;0;0;0;0;1
18,6740749;0;0;0;0;0;1
18,9417714;0;0;0;0;0;1
18,9407712;0;0;0;0;0;1
19,2068036;0;0;0;0;0;1
19,2048061;0;0;0;0;0;1
19,4738326;0;0;0;0;0;1
19,4718367;0;0;0;0;0;1
19,7407629;0;0;0;0;0;1
19,7377666;0;0;0;0;0;1
20,0097279;0;0;0;0;0;1
20,0077328;0;0;0;0;0;1
20,3777921;0;0;0;0;0;1
20,3757965;0;0;0;0;0;1
20,7771184;0;0;0;0;0;1
20,7751225;0;0;0;0;0;1
21,0660162;0;0;0;0;0;1
21,0640203;0;0;0;0;0;1
21,3330265;0;0;0;0;0;1
21,3310315;0;0;0;0;0;1
21,6024081;0;0;0;0;0;1
21,6004081;0;0;0;0;0;1
21,8669601;0;0;0;0;0;1
21,8639599;0;0;0;0;0;1
22,1329699;0;0;0;0;0;1
22,1309697;0;0;0;0;0;1
22,3999824;0;0;0;0;0;1
22,3979858;0;0;0;0;0;1
22,6669825;0;0;0;0;0;1
22,6649866;0;0;0;0;0;1
22,9319825;0;0;0;0;0;1
22,9299868;0;0;0;0;0;1
23,1989834;0;0;0;0;0;1
23,1969822;0;0;0;0;0;1
23,4699889;0;0;0;0;0;1
23,467989;0;0;0;0;0;1
23,7289897;0;0;0;0;0;1
23,7269896;0;0;0;0;0;1
24,0719896;0;0;0;0;0;1
24,0689895;0;0;0;0;0;1
24,4719896;0;0;0;0;0;1
24,4699943;0;0;0;0;0;1
24,8729905;0;0;0;0;0;1
24,8709896;0;0;0;0;0;1
25,274001;0;0;0;0;0;1
25,2750012;0;0;0;0;0;1
25,6720008;0;0;0;0;0;1
25,6710012;0;0;0;0;0;1
26,0720135;0;0;0;0;0;1
26,0700133;0;0;0;0;0;1
26,4720143;0;0;0;0;0;1
26,4710132;0;0;0;0;0;1
26,8730135;0;0;0;0;0;1
26,8710133;0;0;0;0;0;1
27,2750134;0;0;0;0;0;1
27,2740169;0;0;0;0;0;1
27,6740211;0;0;0;0;0;1
27,671021;0;0;0;0;0;1
28,0740298;0;0;0;0;0;1
28,0720337;0;0;0;0;0;1
28,4740304;0;0;0;0;0;1
28,4720335;0;0;0;0;0;1
28,8740336;0;0;0;0;0;1
28,8720334;0;0;0;0;0;1
29,2750292;0;0;0;0;0;1
29,2730295;0;0;0;0;0;1
29,6740299;0;0;0;0;0;1
29,6730295;0;0;0;0;0;1
30,0740297;0;0;0;0;0;1
30,0750294;0;0;0;0;0;1
30,4740293;0;0;0;0;0;1
30,4730337;0;0;0;0;0;1
30,8740296;0;0;0;0;0;1
30,8720294;0;0;0;0;0;1
31,2740295;0;0;0;0;0;1
31,272031;0;0;0;0;0;1
31,6740361;0;0;0;0;0;1
31,6720354;0;0;0;0;0;1
32,0730361;0;0;0;0;0;1
32,0710359;0;0;0;0;0;1
32,4730362;0;0;0;0;0;1
32,4710407;0;0;0;0;0;1
32,8720362;0;0;0;0;0;1
32,8700355;0;0;0;0;0;1
33,273036;0;0;0;0;0;1
33,2710417;0;0;0;0;0;1
33,668036;0;0;0;0;0;1
33,6650354;0;0;0;0;0;1
34,0670361;0;0;0;0;0;1
34,0660403;0;0;0;0;0;1
34,3380399;0;0;0;0;0;1
34,3390356;0;0;0;0;0;1
34,6320359;0;0;0;0;0;1
34,6300357;0;0;0;0;0;1
35,0120578;0;0;0;0;0;1
35,0100578;0;0;0;0;0;1
35,4130576;0;0;0;0;0;1
35,4110583;0;0;0;0;0;1
