timediff; x; y; z; forward_x; forward_y; forward_z
32,4441557;0;0;0;0;0;1
32,4471463;-0,5554038;1,629904;0,4734653;0,3067952;-0,07496837;-0,9488185
32,7098433;0;0;0;0;0;1
32,7108341;0;0;0;0;0;1
32,7128278;-0,5670902;1,621328;0,4713147;0,2126055;-0,1596769;-0,9640033
32,9652832;0;0;0;0;0;1
32,9662809;0;0;0;0;0;1
32,9682746;-0,570901;1,61288;0,4670639;0,1259347;-0,2213366;-0,9670322
33,1993185;0;0;0;0;0;1
33,1993185;0;0;0;0;0;1
33,2023093;-0,5652254;1,610552;0,4696797;0,1777079;-0,241204;-0,9540653
33,465125;0;0;0;0;0;1
33,4661226;0;0;0;0;0;1
33,4681163;-0,5618457;1,609509;0,4711372;0,2477275;-0,2685862;-0,930856
33,7318657;0;0;0;0;0;1
33,7318657;0;0;0;0;0;1
33,7348554;-0,5555744;1,611254;0,4746727;0,2774993;-0,294138;-0,9145913
33,9542462;0;0;0;0;0;1
33,9542462;0;0;0;0;0;1
33,9572365;-0,5469616;1,609007;0,4692247;0,2848429;-0,4340789;-0,8546581
34,2226633;0;0;0;0;0;1
34,2236594;0;0;0;0;0;1
34,22665;-0,5420536;1,601414;0,458937;0,2172962;-0,6954054;-0,6849773
34,4869205;0;0;0;0;0;1
34,4869205;0;0;0;0;0;1
34,4899119;-0,5436938;1,578687;0,4510781;0,1946275;-0,7883031;-0,5836937
34,7419481;0;0;0;0;0;1
34,7429449;0;0;0;0;0;1
34,7459352;-0,5589492;1,554794;0,4251819;0,111616;-0,8017825;-0,5871003
34,9870314;0;0;0;0;0;1
34,9880286;0;0;0;0;0;1
34,9900223;-0,5967807;1,562632;0,3880187;-0,0439964;-0,710679;-0,7021394
35,2539748;0;0;0;0;0;1
35,2539748;0;0;0;0;0;1
35,2569655;-0,6010252;1,549885;0,3658103;-0,03943959;-0,6591923;-0,7509394
35,5200969;0;0;0;0;0;1
35,5210926;0;0;0;0;0;1
35,5230863;-0,5723302;1,478287;0,3504134;0,03055388;-0,7070617;-0,7064915
35,787475;0;0;0;0;0;1
35,787475;0;0;0;0;0;1
35,7904651;-0,508903;1,2995;0,3643633;0,2168684;-0,830426;-0,5131872
36,0535925;0;0;0;0;0;1
36,0535925;0;0;0;0;0;1
36,0565781;-0,4605413;1,154098;0,4057723;0,3295666;-0,8629112;-0,3831061
36,3199104;0;0;0;0;0;1
36,3199104;0;0;0;0;0;1
36,3228968;-0,3953386;1,055841;0,49875;0,4297535;-0,8970476;-0,1030411
36,6751116;0;0;0;0;0;1
36,6751116;0;0;0;0;0;1
36,6781029;-0,3775026;1,004237;0,6534246;0,431279;-0,8782591;0,2065416
37,0760694;0;0;0;0;0;1
37,0760694;0;0;0;0;0;1
37,0790597;-0,4470728;1,035218;0,7948576;0,4231693;-0,8910389;0,1642483
37,3534105;0;0;0;0;0;1
37,3534105;0;0;0;0;0;1
37,3564006;-0,4659262;1,028569;0,9085475;0,4882914;-0,8396937;-0,237668
37,6191928;0;0;0;0;0;1
37,6191928;0;0;0;0;0;1
37,6221801;-0,4518295;1,004231;1,066589;0,5173175;-0,8303696;-0,2070481
37,8859853;0;0;0;0;0;1
37,8859853;0;0;0;0;0;1
37,8889757;-0,4460279;1,027933;1,142903;0,6928394;-0,4788432;-0,53915
38,1517144;0;0;0;0;0;1
38,152712;0;0;0;0;0;1
38,1547057;-0,3828712;1,062532;1,233444;0,8491052;0,2365183;-0,4723129
38,419012;0;0;0;0;0;1
38,4200085;0;0;0;0;0;1
38,4220022;-0,3242219;1,055363;1,332528;0,6417143;0,494231;-0,5864627
38,6405949;0;0;0;0;0;1
38,6405949;0;0;0;0;0;1
