timediff; x; y; z; forward_x; forward_y; forward_zM; collision
9,70937;0;0;0;0;0;1;0
9,7662049;0;0;0;0;0;1;0
9,8429694;0;0;0;0;0;1;0
9,8974983;0;0;0;0;0;1;0
9,9755301;0;0;0;0;0;1;0
10,0313434;0;0;0;0;0;1;0
10,1100797;0;0;0;0;0;1;0
10,1644201;0;0;0;0;0;1;0
10,2421721;0;0;0;0;0;1;0
10,2979976;0;0;0;0;0;1;0
10,3752526;0;0;0;0;0;1;0
10,4300693;0;0;0;0;0;1;0
10,5088202;0;0;0;0;0;1;0
10,5646381;0;0;0;0;0;1;0
10,642373;0;0;0;0;0;1;0
10,69719;0;0;0;0;0;1;0
10,7759365;0;0;0;0;0;1;0
10,8317497;0;0;0;0;0;1;0
10,9095288;0;0;0;0;0;1;0
10,9640218;0;0;0;0;0;1;0
11,0426161;0;0;0;0;0;1;0
11,0984348;0;0;0;0;0;1;0
11,1752566;0;0;0;0;0;1;0
11,2299741;0;0;0;0;0;1;0
11,3092291;0;0;0;0;0;1;0
11,3647245;0;0;0;0;0;1;0
11,4426128;0;0;0;0;0;1;0
11,4974293;0;0;0;0;0;1;0
11,5752006;0;0;0;0;0;1;0
11,6311154;0;0;0;0;0;1;0
11,7088541;0;0;0;0;0;1;0
11,7631968;0;0;0;0;0;1;0
11,8421815;0;0;0;0;0;1;0
11,8981426;0;0;0;0;0;1;0
11,9754149;0;0;0;0;0;1;0
12,029852;0;0;0;0;0;1;0
12,1090935;0;0;0;0;0;1;0
12,1640351;0;0;0;0;0;1;0
12,2413026;0;0;0;0;0;1;0
12,2971158;0;0;0;0;0;1;0
12,3753675;0;0;0;0;0;1;0
12,4309118;0;0;0;0;0;1;0
12,5081739;0;0;0;0;0;1;0
12,5629913;0;0;0;0;0;1;0
12,6417373;0;0;0;0;0;1;0
12,6970765;0;0;0;0;0;1;0
12,7752072;0;0;0;0;0;1;0
12,8300261;0;0;0;0;0;1;0
12,9193232;0;0;0;0;0;1;0
13,0201544;0;0;0;0;0;1;0
13,1194261;0;0;0;0;0;1;0
13,2192568;0;0;0;0;0;1;0
13,3189366;0;0;0;0;0;1;0
13,4205492;0;0;0;0;0;1;0
13,5189868;0;0;0;0;0;1;0
13,6186783;0;0;0;0;0;1;0
13,6854644;0;0;0;0;0;1;0
13,7532377;0;0;0;0;0;1;0
13,8190219;0;0;0;0;0;1;0
13,8857981;0;0;0;0;0;1;0
13,9525742;0;0;0;0;0;1;0
14,0195585;0;0;0;0;0;1;0
14,0853446;0;0;0;0;0;1;0
14,1521213;0;0;0;0;0;1;0
14,2179148;0;0;0;0;0;1;0
14,2868032;0;0;0;0;0;1;0
14,3515911;0;0;0;0;0;1;0
14,4183631;0;0;0;0;0;1;0
14,4841429;0;0;0;0;0;1;0
14,5529129;0;0;0;0;0;1;0
14,6176962;0;0;0;0;0;1;0
14,6844869;0;0;0;0;0;1;0
14,7512598;0;0;0;0;0;1;0
14,8190331;0;0;0;0;0;1;0
14,8845368;0;0;0;0;0;1;0
14,9508328;0;0;0;0;0;1;0
15,0181745;0;0;0;0;0;1;0
15,0640212;0;0;0;0;0;1;0
15,117664;0;0;0;0;0;1;0
15,1625139;0;0;0;0;0;1;0
15,2407703;0;0;0;0;0;1;0
