,Participant,hit,position,series,x,y,distance,mode,Hammer
31,16.0,31.0,1.0,2.0,1.267136,-10.56598,10.64169,VR,leicht
32,16.0,32.0,1.0,2.0,0.002847603,-13.38156,13.38156,VR,leicht
33,16.0,33.0,1.0,2.0,0.9622049,-18.14972,18.17521,VR,leicht
34,16.0,34.0,1.0,2.0,3.016361,-18.32154,18.56818,VR,leicht
35,16.0,35.0,4.0,2.0,-5.362059,-4.520918,7.013585,VR,leicht
36,16.0,36.0,4.0,2.0,2.025209,-8.048853,8.299728,VR,leicht
37,16.0,37.0,4.0,2.0,0.5491304,-11.3297,11.343,VR,leicht
38,16.0,38.0,4.0,2.0,-10.15935,-11.96517,15.69642,VR,leicht
39,16.0,39.0,4.0,2.0,-17.46467,-15.89119,23.61239,VR,leicht
40,16.0,40.0,2.0,1.0,1.555719,-1.422594,2.108088,VR,mittel
41,16.0,41.0,2.0,1.0,-6.397868,-1.691098,6.617592,VR,mittel
42,16.0,42.0,2.0,1.0,-3.295909,-5.080128,6.055635,VR,mittel
43,16.0,43.0,2.0,1.0,8.217218,-14.47981,16.64895,VR,mittel
44,16.0,44.0,2.0,1.0,5.272997,-8.952359,10.38986,VR,mittel
45,16.0,45.0,5.0,1.0,5.766016,-14.80297,15.88631,VR,mittel
46,16.0,46.0,5.0,1.0,9.052452,-2.145469,9.303221,VR,mittel
47,16.0,47.0,5.0,1.0,1.214896,-14.84593,14.89555,VR,mittel
48,16.0,48.0,5.0,1.0,-1.183712,-7.01117,7.110392,VR,mittel
49,16.0,49.0,5.0,1.0,-0.8281664,-11.16274,11.19341,VR,mittel
50,16.0,50.0,2.0,2.0,5.418551,-10.44105,11.76334,VR,mittel
51,16.0,51.0,2.0,2.0,-6.363321,-14.47716,15.81392,VR,mittel
52,16.0,52.0,2.0,2.0,-1.03868,-10.87379,10.92328,VR,mittel
53,16.0,53.0,2.0,2.0,-1.872197,-11.40827,11.56087,VR,mittel
54,16.0,54.0,2.0,2.0,-3.044836,-1.036931,3.216559,VR,mittel
55,16.0,55.0,5.0,2.0,10.84832,-11.19003,15.58534,VR,mittel
56,16.0,56.0,5.0,2.0,-2.601933,-4.19908,4.939871,VR,mittel
57,16.0,57.0,5.0,2.0,8.289389,-1.570431,8.436836,VR,mittel
58,16.0,58.0,5.0,2.0,3.120604,-6.725841,7.414519,VR,mittel
59,16.0,59.0,5.0,2.0,-4.052517,6.810894,7.925349,VR,mittel
1,24.0,1.0,1.0,1.0,-1.125365,4.675373,4.808904,VR,leicht
2,24.0,2.0,1.0,1.0,0.003707461,1.944266,1.94427,VR,leicht
3,24.0,3.0,1.0,1.0,-0.4030457,-4.803616,4.820495,VR,leicht
4,24.0,4.0,1.0,1.0,-3.767903,-7.574954,8.46032,VR,leicht
5,24.0,5.0,1.0,1.0,-0.3859925,-0.1466765,0.4129216,VR,leicht
6,24.0,6.0,4.0,1.0,6.061036,-0.2983418,6.068375,VR,leicht
7,24.0,7.0,4.0,1.0,15.81403,-12.36632,20.0751,VR,leicht
8,24.0,8.0,4.0,1.0,-10.31899,15.76386,18.84094,VR,leicht
9,24.0,9.0,4.0,1.0,20.64076,-9.230332,22.61062,VR,leicht
10,24.0,10.0,4.0,1.0,-8.672695,4.659457,9.84511,VR,leicht
11,24.0,11.0,1.0,2.0,3.186404,2.017765,3.771545,VR,leicht
12,24.0,12.0,1.0,2.0,4.664809,0.08665702,4.665614,VR,leicht
13,24.0,13.0,1.0,2.0,1.078738,3.628045,3.785021,VR,leicht
14,24.0,14.0,1.0,2.0,4.167272,2.289552,4.754808,VR,leicht
15,24.0,15.0,1.0,2.0,6.305403,2.666835,6.846176,VR,leicht
16,24.0,16.0,4.0,2.0,5.614791,-9.357141,10.91247,VR,leicht
17,24.0,17.0,4.0,2.0,11.2752,12.19604,16.60943,VR,leicht
18,24.0,18.0,4.0,2.0,5.732482,7.137808,9.154761,VR,leicht
19,24.0,19.0,4.0,2.0,10.45555,-4.263539,11.29143,VR,leicht
20,24.0,20.0,4.0,2.0,7.05304,2.023032,7.33744,VR,leicht
21,24.0,21.0,3.0,1.0,-0.5321079,5.677373,5.702254,VR,schwer
22,24.0,22.0,3.0,1.0,-1.102127,-0.05833775,1.10367,VR,schwer
23,24.0,23.0,3.0,1.0,2.633298,0.5472114,2.689554,VR,schwer
24,24.0,24.0,3.0,1.0,0.4859256,6.272215,6.29101,VR,schwer
25,24.0,25.0,3.0,1.0,0.4192588,-3.108409,3.136557,VR,schwer
26,24.0,26.0,6.0,1.0,3.321102,-1.46269,3.628936,VR,schwer
27,24.0,27.0,6.0,1.0,2.715743,9.745749,10.11706,VR,schwer
28,24.0,28.0,6.0,1.0,-2.555111,16.71716,16.9113,VR,schwer
29,24.0,29.0,6.0,1.0,-3.151395,17.17526,17.46198,VR,schwer
30,24.0,30.0,6.0,1.0,-0.08408295,5.440121,5.440771,VR,schwer
31,24.0,31.0,6.0,1.0,-59.19075,-0.601755,59.19381,VR,schwer
32,24.0,32.0,3.0,2.0,2.806474,-1.269956,3.080436,VR,schwer
33,24.0,33.0,3.0,2.0,7.331778,1.608276,7.506099,VR,schwer
34,24.0,34.0,3.0,2.0,1.716738,2.6515,3.15874,VR,schwer
35,24.0,35.0,3.0,2.0,3.495418,-1.711596,3.89198,VR,schwer
36,24.0,36.0,3.0,2.0,13.72997,2.038997,13.88055,VR,schwer
37,24.0,37.0,6.0,2.0,6.015989,14.81121,15.98638,VR,schwer
38,24.0,38.0,6.0,2.0,-1.207113,-4.647946,4.802137,VR,schwer
39,24.0,39.0,6.0,2.0,4.026866,2.356267,4.665581,VR,schwer
40,24.0,40.0,6.0,2.0,8.572935,-1.183052,8.65418,VR,schwer
41,24.0,41.0,6.0,2.0,-5.758035,5.475688,7.94595,VR,schwer
42,24.0,42.0,6.0,2.0,-59.19075,-0.601755,59.19381,VR,schwer
43,24.0,43.0,2.0,1.0,-0.06057753,-7.558067,7.55831,VR,mittel
44,24.0,44.0,2.0,1.0,-0.218208,1.326962,1.344783,VR,mittel
45,24.0,45.0,2.0,1.0,-0.8511826,0.1619767,0.8664573,VR,mittel
46,24.0,46.0,2.0,1.0,2.66317,0.9066261,2.813263,VR,mittel
47,24.0,47.0,2.0,1.0,3.675675,3.273768,4.92221,VR,mittel
48,24.0,48.0,5.0,1.0,8.780539,-2.154787,9.04107,VR,mittel
49,24.0,49.0,5.0,1.0,5.908571,8.909562,10.69072,VR,mittel
50,24.0,50.0,5.0,1.0,4.798105,4.483693,6.566988,VR,mittel
51,24.0,51.0,5.0,1.0,7.352407,8.750873,11.4296,VR,mittel
52,24.0,52.0,5.0,1.0,7.859108,0.942457,7.915416,VR,mittel
53,24.0,53.0,2.0,2.0,2.406225,-9.126877,9.438739,VR,mittel
54,24.0,54.0,2.0,2.0,3.324455,11.02431,11.51466,VR,mittel
55,24.0,55.0,2.0,2.0,4.432484,7.366924,8.597586,VR,mittel
56,24.0,56.0,2.0,2.0,5.718119,0.4177656,5.733359,VR,mittel
57,24.0,57.0,2.0,2.0,0.6163399,5.943617,5.975489,VR,mittel
58,24.0,58.0,5.0,2.0,10.05222,0.6630639,10.07406,VR,mittel
59,24.0,59.0,5.0,2.0,8.458651,3.4423,9.132261,VR,mittel
60,24.0,60.0,5.0,2.0,11.0593,4.002504,11.7613,VR,mittel
61,24.0,61.0,5.0,2.0,12.94788,7.217123,14.82344,VR,mittel
62,24.0,62.0,5.0,2.0,11.00904,10.48372,15.20221,VR,mittel
1,10.0,1.0,2.0,1.0,-11.38604,-1.575246,11.4945,VR,mittel
2,10.0,2.0,2.0,1.0,-1.903883,-18.74472,18.84116,VR,mittel
3,10.0,3.0,2.0,1.0,-5.298808,-24.5635,25.12853,VR,mittel
4,10.0,4.0,2.0,1.0,9.324249,-11.8169,15.0526,VR,mittel
5,10.0,5.0,2.0,1.0,5.784943,-16.53924,17.52176,VR,mittel
6,10.0,6.0,5.0,1.0,3.370305,-12.91294,13.34552,VR,mittel
7,10.0,7.0,5.0,1.0,2.015762,-13.87178,14.01748,VR,mittel
8,10.0,8.0,5.0,1.0,15.74258,-10.86137,19.12585,VR,mittel
9,10.0,9.0,5.0,1.0,5.868047,-12.99992,14.26295,VR,mittel
10,10.0,10.0,5.0,1.0,3.617216,-19.65223,19.98235,VR,mittel
11,10.0,11.0,2.0,2.0,18.5434,-11.82002,21.99024,VR,mittel
12,10.0,12.0,2.0,2.0,1.012659,-15.70315,15.73577,VR,mittel
13,10.0,13.0,2.0,2.0,-6.440298,-27.30762,28.05679,VR,mittel
14,10.0,14.0,2.0,2.0,-4.063451,-15.63046,16.15002,VR,mittel
15,10.0,15.0,2.0,2.0,6.945241,-33.89056,34.59489,VR,mittel
16,10.0,16.0,5.0,2.0,2.223052,-8.284773,8.577845,VR,mittel
17,10.0,17.0,5.0,2.0,10.10036,3.818429,10.79804,VR,mittel
18,10.0,18.0,5.0,2.0,-5.102636,-7.844049,9.357671,VR,mittel
19,10.0,19.0,5.0,2.0,-3.224368,-7.258234,7.942198,VR,mittel
20,10.0,20.0,5.0,2.0,6.753991,-7.220685,9.887096,VR,mittel
21,10.0,21.0,1.0,1.0,-0.1350805,11.09437,11.09519,VR,leicht
22,10.0,22.0,1.0,1.0,2.135575,-0.2943733,2.155768,VR,leicht
23,10.0,23.0,1.0,1.0,10.17168,3.421928,10.73186,VR,leicht
24,10.0,24.0,1.0,1.0,13.75747,-3.333946,14.15567,VR,leicht
25,10.0,25.0,1.0,1.0,-4.292899,-0.9363135,4.393822,VR,leicht
26,10.0,26.0,4.0,1.0,7.50533,-9.121472,11.81233,VR,leicht
27,10.0,27.0,4.0,1.0,8.673019,-1.638152,8.82637,VR,leicht
28,10.0,28.0,4.0,1.0,7.374859,-8.826419,11.50192,VR,leicht
29,10.0,29.0,4.0,1.0,3.365119,-14.227,14.61956,VR,leicht
30,10.0,30.0,4.0,1.0,10.99644,-9.26745,14.3808,VR,leicht
31,10.0,31.0,1.0,2.0,10.32714,-9.025553,13.71534,VR,leicht
32,10.0,32.0,1.0,2.0,1.713046,-36.5358,36.57594,VR,leicht
33,10.0,33.0,1.0,2.0,1.792766,-11.81281,11.94808,VR,leicht
34,10.0,34.0,1.0,2.0,7.738853,-16.98316,18.66327,VR,leicht
35,10.0,35.0,1.0,2.0,3.514229,-7.167736,7.982872,VR,leicht
36,10.0,36.0,4.0,2.0,19.79453,-16.8536,25.99745,VR,leicht
37,10.0,37.0,4.0,2.0,9.738732,-9.598701,13.67399,VR,leicht
38,10.0,38.0,4.0,2.0,5.878646,2.675448,6.458831,VR,leicht
